перемешанная коллекция
hear; heard; heard; слышать, услышать
do; did; done; делать, выполнять
sit; sat; sat; сидеть, садиться
hang; hung; hung; вешать, развешивать, висеть
see; saw; seen; видеть
lie; lay; lain; лежать
cut; cut; cut; резать, разрезать
forgive; forgave; forgiven; прощать
mean; meant; meant; значить, иметь в виду, подразумевать
drink; drank; drunk; пить
rise; rose; risen; восходить, вставать, подниматься
fly; flew; flown; летать
begin; began; begun; начинать
teach; taught; taught; учить, обучать
hurt; hurt; hurt; ранить, причинять боль, ушибить
swear; swore; sworn; клясться, присягать
make; made; made; делать, создавать, изготавливать
shut; shut; shut; закрывать, запирать, затворять
tell; told; told; рассказывать
lead; led; led; вести за собой, сопровождать, руководить
ring; rang; rung; звенеть, звонить
feel; felt; felt; чувствовать, ощущать
lend; lent; lent; одалживать, давать взаймы (в долг)
get; got; got; получать, добираться
blow; blew; blown; дуть, выдыхать
steal; stole; stolen; воровать, красть
sweep; swept; swept; мести, подметать, смахивать
deal; dealt; dealt; иметь дело, распределять
choose; chose; chosen; выбирать, избирать
say; said; said; говорить, сказать, произносить
bet; bet; bet; держать пари
shine; shone; shone; светить, сиять, озарять
drive; drove; driven; ездить, подвозить
swing; swung; swung; качаться, вертеться
lay; laid; laid; класть, положить, покрывать
strike; struck; struck, stricken; ударять, бить, поражать
read; read; read; читать, прочитать
sing; sang; sung; петь, напевать
win; won; won; победить, выиграть
fight; fought; fought; драться, сражаться, воевать
dig; dug; dug; копать, рыть
sleep; slept; slept; спать
shake; shook; shaken; трясти, встряхивать
go; went; gone; идти, двигаться
swim; swam; swum; плавать, плыть
keep; kept; kept; хранить, сохранять, поддерживать
tear; tore; torn; рвать, отрывать
stand; stood; stood; стоять
take; took; taken; брать, хватать, взять
find; found; found; находить, обнаруживать
throw; threw; thrown; бросать, кидать, метать
hold; held; held; держать, удерживать, задерживать
hit; hit; hit; ударять, поражать
think; thought; thought; думать, мыслить, размышлять
run; ran; run; бежать, бегать
meet; met; met; встречать, знакомиться
eat; ate; eaten; есть, поглощать, поедать
buy; bought; bought; покупать, приобретать
ride; rode; ridden; ехать верхом, кататься
lose; lost; lost; терять, лишаться, утрачивать
pay; paid; paid; платить, оплачивать, рассчитываться
come; came; come; приходить, подходить
set; set; set; устанавливать, задавать, назначать
forget; forgot; forgotten; забывать о (чём-либо)
understand; understood; understood; понимать, постигать
draw; drew; drawn; рисовать, чертить
